emi_id	loan_id	emi_month	emi_amount	due_date	status
9001	7001	1	157830.32	11-05-2025	Pending
9002	7001	2	157830.32	10-06-2025	Pending
9003	7001	3	157830.32	10-07-2025	Pending
9004	7001	4	157830.32	09-08-2025	Pending
9005	7001	5	157830.32	08-09-2025	Pending
9006	7001	6	157830.32	08-10-2025	Pending
9007	7001	7	157830.32	07-11-2025	Pending
9008	7001	8	157830.32	07-12-2025	Pending
9009	7001	9	157830.32	06-01-2026	Pending
9010	7001	10	157830.32	05-02-2026	Pending
9011	7001	11	157830.32	07-03-2026	Pending
9012	7001	12	157830.32	06-04-2026	Pending
9013	7002	1	150358.71	13-05-2025	Pending
9014	7002	2	150358.71	12-06-2025	Pending
9015	7002	3	150358.71	12-07-2025	Pending
9016	7002	4	150358.71	11-08-2025	Pending
9017	7002	5	150358.71	10-09-2025	Pending
9018	7002	6	150358.71	10-10-2025	Pending
9019	7002	7	150358.71	09-11-2025	Pending
9020	7002	8	150358.71	09-12-2025	Pending
9021	7002	9	150358.71	08-01-2026	Pending
9022	7002	10	150358.71	07-02-2026	Pending
9023	7002	11	150358.71	09-03-2026	Pending
9024	7002	12	150358.71	08-04-2026	Pending
9025	7002	13	150358.71	08-05-2026	Pending
9026	7003	1	144136.89	15-05-2025	Pending
9027	7003	2	144136.89	14-06-2025	Pending
9028	7003	3	144136.89	14-07-2025	Pending
9029	7003	4	144136.89	13-08-2025	Pending
9030	7003	5	144136.89	12-09-2025	Pending
9031	7003	6	144136.89	12-10-2025	Pending
9032	7003	7	144136.89	11-11-2025	Pending
9033	7003	8	144136.89	11-12-2025	Pending
9034	7003	9	144136.89	10-01-2026	Pending
9035	7003	10	144136.89	09-02-2026	Pending
9036	7003	11	144136.89	11-03-2026	Pending
9037	7003	12	144136.89	10-04-2026	Pending
9038	7003	13	144136.89	10-05-2026	Pending
9039	7003	14	144136.89	09-06-2026	Pending
9040	7004	1	138924.48	17-05-2025	Pending
9041	7004	2	138924.48	16-06-2025	Pending
9042	7004	3	138924.48	16-07-2025	Pending
9043	7004	4	138924.48	15-08-2025	Pending
9044	7004	5	138924.48	14-09-2025	Pending
9045	7004	6	138924.48	14-10-2025	Pending
9046	7004	7	138924.48	13-11-2025	Pending
9047	7004	8	138924.48	13-12-2025	Pending
9048	7004	9	138924.48	12-01-2026	Pending
9049	7004	10	138924.48	11-02-2026	Pending
9050	7004	11	138924.48	13-03-2026	Pending
9051	7004	12	138924.48	12-04-2026	Pending
9052	7004	13	138924.48	12-05-2026	Pending
9053	7004	14	138924.48	11-06-2026	Pending
9054	7004	15	138924.48	11-07-2026	Pending
9055	7005	1	134541.51	19-05-2025	Pending
9056	7005	2	134541.51	18-06-2025	Pending
9057	7005	3	134541.51	18-07-2025	Pending
9058	7005	4	134541.51	17-08-2025	Pending
9059	7005	5	134541.51	16-09-2025	Pending
9060	7005	6	134541.51	16-10-2025	Pending
9061	7005	7	134541.51	15-11-2025	Pending
9062	7005	8	134541.51	15-12-2025	Pending
9063	7005	9	134541.51	14-01-2026	Pending
9064	7005	10	134541.51	13-02-2026	Pending
9065	7005	11	134541.51	15-03-2026	Pending
9066	7005	12	134541.51	14-04-2026	Pending
9067	7005	13	134541.51	14-05-2026	Pending
9068	7005	14	134541.51	13-06-2026	Pending
9069	7005	15	134541.51	13-07-2026	Pending
9070	7005	16	134541.51	12-08-2026	Pending
9071	7006	1	126205.62	21-05-2025	Pending
9072	7006	2	126205.62	20-06-2025	Pending
9073	7006	3	126205.62	20-07-2025	Pending
9074	7006	4	126205.62	19-08-2025	Pending
9075	7006	5	126205.62	18-09-2025	Pending
9076	7006	6	126205.62	18-10-2025	Pending
9077	7006	7	126205.62	17-11-2025	Pending
9078	7006	8	126205.62	17-12-2025	Pending
9079	7006	9	126205.62	16-01-2026	Pending
9080	7006	10	126205.62	15-02-2026	Pending
9081	7006	11	126205.62	17-03-2026	Pending
9082	7006	12	126205.62	16-04-2026	Pending
9083	7006	13	126205.62	16-05-2026	Pending
9084	7006	14	126205.62	15-06-2026	Pending
9085	7006	15	126205.62	15-07-2026	Pending
9086	7006	16	126205.62	14-08-2026	Pending
9087	7006	17	126205.62	13-09-2026	Pending
